id,root,quality,quality_label,formula,level,category,shape_name,fret_code,frets,string_set,inversion,triad_inversion,priority,max_fret,fret_span_excluding_open,notes_sharp,intervals,related_suspended_ids
C_diminished_triad_position_triad_6-5-4_second_inversion_b5-1-b3_2-3-1-x-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_6-5-4_second_inversion_b5-1-b3,2-3-1-x-x-x,"[2, 3, 1, null, null, null]",6-5-4,second_inversion,second_inversion,60,3,2,F# C D# None None None,b5 1 b3 None None None,{}
C_diminished_triad_position_triad_4-3-2_second_inversion_b5-1-b3_x-x-4-5-4-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_4-3-2_second_inversion_b5-1-b3,x-x-4-5-4-x,"[null, null, 4, 5, 4, null]",4-3-2,second_inversion,second_inversion,60,5,1,None None F# C D# None,None None b5 1 b3 None,{}
C_diminished_triad_position_triad_3-2-1_root_position_1-b3-b5_x-x-x-5-4-2,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_3-2-1_root_position_1-b3-b5,x-x-x-5-4-2,"[null, null, null, 5, 4, 2]",3-2-1,root_position,root_position,60,5,3,None None None C D# F#,None None None 1 b3 b5,{}
C_diminished_triad_position_triad_5-4-3_first_inversion_b3-b5-1_x-6-4-5-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_5-4-3_first_inversion_b3-b5-1,x-6-4-5-x-x,"[null, 6, 4, 5, null, null]",5-4-3,first_inversion_or_suspended_bass,first_inversion,60,6,2,None D# F# C None None,None b3 b5 1 None None,{}
C_diminished_triad_position_triad_6-5-4_root_position_1-b3-b5_8-6-4-x-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_6-5-4_root_position_1-b3-b5,8-6-4-x-x-x,"[8, 6, 4, null, null, null]",6-5-4,root_position,root_position,60,8,4,C D# F# None None None,1 b3 b5 None None None,{}
C_diminished_triad_position_triad_3-2-1_first_inversion_b3-b5-1_x-x-x-8-7-8,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_3-2-1_first_inversion_b3-b5-1,x-x-x-8-7-8,"[null, null, null, 8, 7, 8]",3-2-1,first_inversion_or_suspended_bass,first_inversion,60,8,1,None None None D# F# C,None None None b3 b5 1,{}
C_diminished_triad_position_triad_5-4-3_second_inversion_b5-1-b3_x-9-10-8-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_5-4-3_second_inversion_b5-1-b3,x-9-10-8-x-x,"[null, 9, 10, 8, null, null]",5-4-3,second_inversion,second_inversion,60,10,2,None F# C D# None None,None b5 1 b3 None None,{}
C_diminished_triad_position_triad_4-3-2_root_position_1-b3-b5_x-x-10-8-7-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_4-3-2_root_position_1-b3-b5,x-x-10-8-7-x,"[null, null, 10, 8, 7, null]",4-3-2,root_position,root_position,60,10,3,None None C D# F# None,None None 1 b3 b5 None,{}
C_diminished_triad_position_triad_6-5-4_first_inversion_b3-b5-1_11-9-10-x-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_6-5-4_first_inversion_b3-b5-1,11-9-10-x-x-x,"[11, 9, 10, null, null, null]",6-5-4,first_inversion_or_suspended_bass,first_inversion,60,11,2,D# F# C None None None,b3 b5 1 None None None,{}
C_diminished_triad_position_triad_4-3-2_first_inversion_b3-b5-1_x-x-13-11-13-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_4-3-2_first_inversion_b3-b5-1,x-x-13-11-13-x,"[null, null, 13, 11, 13, null]",4-3-2,first_inversion_or_suspended_bass,first_inversion,60,13,2,None None D# F# C None,None None b3 b5 1 None,{}
C_diminished_triad_position_triad_3-2-1_second_inversion_b5-1-b3_x-x-x-11-13-11,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_3-2-1_second_inversion_b5-1-b3,x-x-x-11-13-11,"[null, null, null, 11, 13, 11]",3-2-1,second_inversion,second_inversion,60,13,2,None None None F# C D#,None None None b5 1 b3,{}
C_diminished_triad_position_triad_6-5-4_second_inversion_b5-1-b3_14-15-13-x-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_6-5-4_second_inversion_b5-1-b3,14-15-13-x-x-x,"[14, 15, 13, null, null, null]",6-5-4,second_inversion,second_inversion,60,15,2,F# C D# None None None,b5 1 b3 None None None,{}
C_diminished_triad_position_triad_5-4-3_root_position_1-b3-b5_x-15-13-11-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_5-4-3_root_position_1-b3-b5,x-15-13-11-x-x,"[null, 15, 13, 11, null, null]",5-4-3,root_position,root_position,60,15,4,None C D# F# None None,None 1 b3 b5 None None,{}
C_diminished_triad_position_triad_4-3-2_second_inversion_b5-1-b3_x-x-16-17-16-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_4-3-2_second_inversion_b5-1-b3,x-x-16-17-16-x,"[null, null, 16, 17, 16, null]",4-3-2,second_inversion,second_inversion,60,17,1,None None F# C D# None,None None b5 1 b3 None,{}
C_diminished_triad_position_triad_3-2-1_root_position_1-b3-b5_x-x-x-17-16-14,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_3-2-1_root_position_1-b3-b5,x-x-x-17-16-14,"[null, null, null, 17, 16, 14]",3-2-1,root_position,root_position,60,17,3,None None None C D# F#,None None None 1 b3 b5,{}
C_diminished_triad_position_triad_5-4-3_first_inversion_b3-b5-1_x-18-16-17-x-x,C,diminished,dim,1 b3 b5,advanced_reference,triad_position,triad_5-4-3_first_inversion_b3-b5-1,x-18-16-17-x-x,"[null, 18, 16, 17, null, null]",5-4-3,first_inversion_or_suspended_bass,first_inversion,60,18,2,None D# F# C None None,None b3 b5 1 None None,{}
C_diminished7_movable_diminished_A_root_dim7_diamond_x-3-4-2-4-x,C,diminished7,dim7,1 b3 b5 bb7,intermediate_core,movable_diminished,A_root_dim7_diamond,x-3-4-2-4-x,"[null, 3, 4, 2, 4, null]",,root_position,,45,4,2,None C F# A D# None,None 1 b5 6/bb7 b3 None,{}
C_diminished7_movable_diminished_E_root_dim7_barre_8-x-7-8-7-x,C,diminished7,dim7,1 b3 b5 bb7,intermediate_core,movable_diminished,E_root_dim7_barre,8-x-7-8-7-x,"[8, null, 7, 8, 7, null]",,root_position,,45,8,1,C None A D# F# None,1 None 6/bb7 b3 b5 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_b3-bb7-1-b5_x-x-1-2-1-2,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_b3-bb7-1-b5,x-x-1-2-1-2,"[null, null, 1, 2, 1, 2]",4-3-2-1,first_inversion_or_suspended_bass,,80,2,1,None None D# A C F#,None None b3 6/bb7 1 b5,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_b5-1-b3-bb7_2-3-1-2-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b5-1-b3-bb7,2-3-1-2-x-x,"[2, 3, 1, 2, null, null]",6-5-4-3,second_inversion,,80,3,2,F# C D# A None None,b5 1 b3 6/bb7 None None,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_b5-bb7-b3-1_2-0-1-5-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b5-bb7-b3-1,2-0-1-5-x-x,"[2, 0, 1, 5, null, null]",6-5-4-3,second_inversion,,80,5,4,F# A D# C None None,b5 6/bb7 b3 1 None None,{}
C_diminished7_compact_seventh_position_seventh_5-4-3-2_bb7-b5-1-b3_x-0-4-5-4-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_bb7-b5-1-b3,x-0-4-5-4-x,"[null, 0, 4, 5, 4, null]",5-4-3-2,seventh_in_bass,,80,5,1,None A F# C D# None,None 6/bb7 b5 1 b3 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_b5-1-b3-bb7_x-x-4-5-4-5,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_b5-1-b3-bb7,x-x-4-5-4-5,"[null, null, 4, 5, 4, 5]",4-3-2-1,second_inversion,,80,5,1,None None F# C D# A,None None b5 1 b3 6/bb7,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_bb7-b3-b5-1_5-6-4-5-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_bb7-b3-b5-1,5-6-4-5-x-x,"[5, 6, 4, 5, null, null]",6-5-4-3,seventh_in_bass,,80,6,2,A D# F# C None None,6/bb7 b3 b5 1 None None,{}
C_diminished7_compact_seventh_position_seventh_5-4-3-2_b3-bb7-1-b5_x-6-7-5-7-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b3-bb7-1-b5,x-6-7-5-7-x,"[null, 6, 7, 5, 7, null]",5-4-3-2,first_inversion_or_suspended_bass,,80,7,2,None D# A C F# None,None b3 6/bb7 1 b5 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_bb7-b3-b5-1_x-x-7-8-7-8,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_bb7-b3-b5-1,x-x-7-8-7-8,"[null, null, 7, 8, 7, 8]",4-3-2-1,seventh_in_bass,,80,8,1,None None A D# F# C,None None 6/bb7 b3 b5 1,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_1-b5-bb7-b3_8-9-7-8-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_1-b5-bb7-b3,8-9-7-8-x-x,"[8, 9, 7, 8, null, null]",6-5-4-3,root_position,,80,9,2,C F# A D# None None,1 b5 6/bb7 b3 None None,{}
C_diminished7_compact_seventh_position_seventh_5-4-3-2_b5-1-b3-bb7_x-9-10-8-10-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b5-1-b3-bb7,x-9-10-8-10-x,"[null, 9, 10, 8, 10, null]",5-4-3-2,second_inversion,,80,10,2,None F# C D# A None,None b5 1 b3 6/bb7 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_1-b5-bb7-b3_x-x-10-11-10-11,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_1-b5-bb7-b3,x-x-10-11-10-11,"[null, null, 10, 11, 10, 11]",4-3-2-1,root_position,,80,11,1,None None C F# A D#,None None 1 b5 6/bb7 b3,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_b3-bb7-1-b5_11-12-10-11-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b3-bb7-1-b5,11-12-10-11-x-x,"[11, 12, 10, 11, null, null]",6-5-4-3,first_inversion_or_suspended_bass,,80,12,2,D# A C F# None None,b3 6/bb7 1 b5 None None,{}
C_diminished7_compact_seventh_position_seventh_5-4-3-2_bb7-b3-b5-1_x-12-13-11-13-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_bb7-b3-b5-1,x-12-13-11-13-x,"[null, 12, 13, 11, 13, null]",5-4-3-2,seventh_in_bass,,80,13,2,None A D# F# C None,None 6/bb7 b3 b5 1 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_b3-bb7-1-b5_x-x-13-14-13-14,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_b3-bb7-1-b5,x-x-13-14-13-14,"[null, null, 13, 14, 13, 14]",4-3-2-1,first_inversion_or_suspended_bass,,80,14,1,None None D# A C F#,None None b3 6/bb7 1 b5,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_b5-1-b3-bb7_14-15-13-14-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b5-1-b3-bb7,14-15-13-14-x-x,"[14, 15, 13, 14, null, null]",6-5-4-3,second_inversion,,80,15,2,F# C D# A None None,b5 1 b3 6/bb7 None None,{}
C_diminished7_compact_seventh_position_seventh_5-4-3-2_1-b5-bb7-b3_x-15-16-14-16-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_1-b5-bb7-b3,x-15-16-14-16-x,"[null, 15, 16, 14, 16, null]",5-4-3-2,root_position,,80,16,2,None C F# A D# None,None 1 b5 6/bb7 b3 None,{}
C_diminished7_compact_seventh_position_seventh_4-3-2-1_b5-1-b3-bb7_x-x-16-17-16-17,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_b5-1-b3-bb7,x-x-16-17-16-17,"[null, null, 16, 17, 16, 17]",4-3-2-1,second_inversion,,80,17,1,None None F# C D# A,None None b5 1 b3 6/bb7,{}
C_diminished7_compact_seventh_position_seventh_6-5-4-3_bb7-b3-b5-1_17-18-16-17-x-x,C,diminished7,dim7,1 b3 b5 bb7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_bb7-b3-b5-1,17-18-16-17-x-x,"[17, 18, 16, 17, null, null]",6-5-4-3,seventh_in_bass,,80,18,2,A D# F# C None None,6/bb7 b3 b5 1 None None,{}
C_dominant7_caged_seventh_A_shape_7_x-3-5-3-5-3,C,dominant7,7,1 3 5 b7,intermediate_core,caged_seventh,A_shape_7,x-3-5-3-5-3,"[null, 3, 5, 3, 5, 3]",,root_position,,35,5,2,None C G A# E G,None 1 5 b7 3 5,{}
C_dominant7_caged_seventh_G_shape_7_8-7-5-5-5-6,C,dominant7,7,1 3 5 b7,intermediate_core,caged_seventh,G_shape_7,8-7-5-5-5-6,"[8, 7, 5, 5, 5, 6]",,root_position,,35,8,3,C E G C E A#,1 3 5 1 3 b7,{}
C_dominant7_caged_seventh_E_shape_7_8-10-8-9-8-8,C,dominant7,7,1 3 5 b7,intermediate_core,caged_seventh,E_shape_7,8-10-8-9-8-8,"[8, 10, 8, 9, 8, 8]",,root_position,,35,10,2,C G A# E G C,1 5 b7 3 5 1,{}
C_dominant7_caged_seventh_D_shape_7_x-x-10-12-11-12,C,dominant7,7,1 3 5 b7,intermediate_core,caged_seventh,D_shape_7,x-x-10-12-11-12,"[null, null, 10, 12, 11, 12]",,root_position,,35,12,2,None None C G A# E,None None 1 5 b7 3,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_b7-3-5-1_x-1-2-0-1-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b7-3-5-1,x-1-2-0-1-x,"[null, 1, 2, 0, 1, null]",5-4-3-2,seventh_in_bass,,80,2,1,None A# E G C None,None b7 3 5 1 None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_5-1-3-b7_3-3-2-3-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_5-1-3-b7,3-3-2-3-x-x,"[3, 3, 2, 3, null, null]",6-5-4-3,second_inversion,,80,3,1,G C E A# None None,5 1 3 b7 None None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_3-b7-1-5_x-x-2-3-1-3,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_3-b7-1-5,x-x-2-3-1-3,"[null, null, 2, 3, 1, 3]",4-3-2-1,first_inversion_or_suspended_bass,,80,3,2,None None E A# C G,None None 3 b7 1 5,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_3-b7-5-1_0-1-5-5-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_3-b7-5-1,0-1-5-5-x-x,"[0, 1, 5, 5, null, null]",6-5-4-3,first_inversion_or_suspended_bass,,80,5,4,E A# G C None None,3 b7 5 1 None None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_3-1-5-b7_0-3-5-3-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_3-1-5-b7,0-3-5-3-x-x,"[0, 3, 5, 3, null, null]",6-5-4-3,first_inversion_or_suspended_bass,,80,5,2,E C G A# None None,3 1 5 b7 None None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_5-b7-3-1_3-1-2-5-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_5-b7-3-1,3-1-2-5-x-x,"[3, 1, 2, 5, null, null]",6-5-4-3,second_inversion,,80,5,4,G A# E C None None,5 b7 3 1 None None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_b7-5-1-3_x-1-5-5-5-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b7-5-1-3,x-1-5-5-5-x,"[null, 1, 5, 5, 5, null]",5-4-3-2,seventh_in_bass,,80,5,4,None A# G C E None,None b7 5 1 3 None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_1-5-b7-3_x-3-5-3-5-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_1-5-b7-3,x-3-5-3-5-x,"[null, 3, 5, 3, 5, null]",5-4-3-2,root_position,,80,5,2,None C G A# E None,None 1 5 b7 3 None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_5-b7-1-3_x-x-5-3-1-0,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_5-b7-1-3,x-x-5-3-1-0,"[null, null, 5, 3, 1, 0]",4-3-2-1,second_inversion,,80,5,4,None None G A# C E,None None 5 b7 1 3,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_5-1-3-b7_x-x-5-5-5-6,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_5-1-3-b7,x-x-5-5-5-6,"[null, null, 5, 5, 5, 6]",4-3-2-1,second_inversion,,80,6,1,None None G C E A#,None None 5 1 3 b7,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_b7-3-5-1_6-7-5-5-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b7-3-5-1,6-7-5-5-x-x,"[6, 7, 5, 5, null, null]",6-5-4-3,seventh_in_bass,,80,7,2,A# E G C None None,b7 3 5 1 None None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_3-b7-1-5_x-7-8-5-8-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_3-b7-1-5,x-7-8-5-8-x,"[null, 7, 8, 5, 8, null]",5-4-3-2,first_inversion_or_suspended_bass,,80,8,3,None E A# C G None,None 3 b7 1 5 None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_b7-3-5-1_x-x-8-9-8-8,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_b7-3-5-1,x-x-8-9-8-8,"[null, null, 8, 9, 8, 8]",4-3-2-1,seventh_in_bass,,80,9,1,None None A# E G C,None None b7 3 5 1,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_b7-5-1-3_6-10-10-9-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b7-5-1-3,6-10-10-9-x-x,"[6, 10, 10, 9, null, null]",6-5-4-3,seventh_in_bass,,80,10,4,A# G C E None None,b7 5 1 3 None None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_1-5-b7-3_8-10-8-9-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_1-5-b7-3,8-10-8-9-x-x,"[8, 10, 8, 9, null, null]",6-5-4-3,root_position,,80,10,2,C G A# E None None,1 5 b7 3 None None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_1-3-5-b7_x-x-10-9-8-6,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_1-3-5-b7,x-x-10-9-8-6,"[null, null, 10, 9, 8, 6]",4-3-2-1,root_position,,80,10,4,None None C E G A#,None None 1 3 5 b7,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_5-1-3-b7_x-10-10-9-11-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_5-1-3-b7,x-10-10-9-11-x,"[null, 10, 10, 9, 11, null]",5-4-3-2,second_inversion,,80,11,2,None G C E A# None,None 5 1 3 b7 None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_3-b7-1-5_12-13-10-12-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_3-b7-1-5,12-13-10-12-x-x,"[12, 13, 10, 12, null, null]",6-5-4-3,first_inversion_or_suspended_bass,,80,13,3,E A# C G None None,3 b7 1 5 None None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_b7-3-5-1_x-13-14-12-13-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b7-3-5-1,x-13-14-12-13-x,"[null, 13, 14, 12, 13, null]",5-4-3-2,seventh_in_bass,,80,14,2,None A# E G C None,None b7 3 5 1 None,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_5-1-3-b7_15-15-14-15-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_5-1-3-b7,15-15-14-15-x-x,"[15, 15, 14, 15, null, null]",6-5-4-3,second_inversion,,80,15,1,G C E A# None None,5 1 3 b7 None None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_1-3-5-b7_x-15-14-12-11-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_1-3-5-b7,x-15-14-12-11-x,"[null, 15, 14, 12, 11, null]",5-4-3-2,root_position,,80,15,4,None C E G A# None,None 1 3 5 b7 None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_3-b7-1-5_x-x-14-15-13-15,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_3-b7-1-5,x-x-14-15-13-15,"[null, null, 14, 15, 13, 15]",4-3-2-1,first_inversion_or_suspended_bass,,80,15,2,None None E A# C G,None None 3 b7 1 5,{}
C_dominant7_compact_seventh_position_seventh_6-5-4-3_5-b7-3-1_15-13-14-17-x-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_5-b7-3-1,15-13-14-17-x-x,"[15, 13, 14, 17, null, null]",6-5-4-3,second_inversion,,80,17,4,G A# E C None None,5 b7 3 1 None None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_b7-5-1-3_x-13-17-17-17-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_b7-5-1-3,x-13-17-17-17-x,"[null, 13, 17, 17, 17, null]",5-4-3-2,seventh_in_bass,,80,17,4,None A# G C E None,None b7 5 1 3 None,{}
C_dominant7_compact_seventh_position_seventh_5-4-3-2_1-5-b7-3_x-15-17-15-17-x,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_5-4-3-2_1-5-b7-3,x-15-17-15-17-x,"[null, 15, 17, 15, 17, null]",5-4-3-2,root_position,,80,17,2,None C G A# E None,None 1 5 b7 3 None,{}
C_dominant7_compact_seventh_position_seventh_4-3-2-1_5-1-3-b7_x-x-17-17-17-18,C,dominant7,7,1 3 5 b7,advanced_reference,compact_seventh_position,seventh_4-3-2-1_5-1-3-b7,x-x-17-17-17-18,"[null, null, 17, 17, 17, 18]",4-3-2-1,second_inversion,,80,18,1,None None G C E A#,None None 5 1 3 b7,{}
C_half_diminished7_movable_diminished_A_root_m7b5_x-3-4-3-4-x,C,half_diminished7,m7b5,1 b3 b5 b7,intermediate_core,movable_diminished,A_root_m7b5,x-3-4-3-4-x,"[null, 3, 4, 3, 4, null]",,root_position,,45,4,1,None C F# A# D# None,None 1 b5 b7 b3 None,{}
C_half_diminished7_movable_diminished_E_root_m7b5_8-x-8-8-7-x,C,half_diminished7,m7b5,1 b3 b5 b7,intermediate_core,movable_diminished,E_root_m7b5,8-x-8-8-7-x,"[8, null, 8, 8, 7, null]",,root_position,,45,8,1,C None A# D# F# None,1 None b7 b3 b5 None,{}
C_half_diminished7_compact_seventh_position_seventh_6-5-4-3_b5-1-b3-b7_2-3-1-3-x-x,C,half_diminished7,m7b5,1 b3 b5 b7,advanced_reference,compact_seventh_position,seventh_6-5-4-3_b5-1-b3-b7,2-3-1-3-x-x,"[2, 3, 1, 3, null, null]",6-5-4-3,second_inversion,,80,3,2,F# C D# A# None None,b5 1 b3 b7 None None,{}
