escala,tonica_ejemplo,formula_intervalos,notas_escala_en_C,criterio,tipo_acorde,grado_o_raiz,acorde,notas_acorde,observaciones
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,I,C,C-E-G,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,ii,Dm,D-F-A,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,iii,Em,E-G-B,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,IV,F,F-A-C,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,V,G,G-B-D,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,vi,Am,A-C-E,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,triada,vii°,Bdim,B-D-F,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,Imaj7,Cmaj7,C-E-G-B,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,ii7,Dm7,D-F-A-C,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,iii7,Em7,E-G-B-D,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,IVmaj7,Fmaj7,F-A-C-E,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,V7,G7,G-B-D-F,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,vi7,Am7,A-C-E-G,
Mayor (Jonica),C,1 2 3 4 5 6 7,C D E F G A B,Por terceras diatonicas sobre cada grado,cuatriada,viiø7,Bm7b5,B-D-F-A,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,i,Cm,C-Eb-G,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,ii°,Ddim,D-F-Ab,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,bIII,Eb,Eb-G-Bb,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,iv,Fm,F-Ab-C,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,v,Gm,G-Bb-D,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,bVI,Ab,Ab-C-Eb,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,triada,bVII,Bb,Bb-D-F,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,i7,Cm7,C-Eb-G-Bb,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,iiø7,Dm7b5,D-F-Ab-C,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,bIIImaj7,Ebmaj7,Eb-G-Bb-D,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,iv7,Fm7,F-Ab-C-Eb,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,v7,Gm7,G-Bb-D-F,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,bVImaj7,Abmaj7,Ab-C-Eb-G,
Menor natural (Eolica),C,1 2 b3 4 5 b6 b7,C D Eb F G Ab Bb,Por terceras diatonicas sobre cada grado,cuatriada,bVII7,Bb7,Bb-D-F-Ab,
Pentatonica mayor,C,1 2 3 5 6,C D E G A,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,C,C,C-E-G,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica mayor,C,1 2 3 5 6,C D E G A,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,A,Am,A-C-E,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica mayor,C,1 2 3 5 6,C D E G A,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,C,C6,C-E-G-A,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica mayor,C,1 2 3 5 6,C D E G A,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,A,Am7,A-C-E-G,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica menor,C,1 b3 4 5 b7,C Eb F G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,C,Cm,C-Eb-G,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica menor,C,1 b3 4 5 b7,C Eb F G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,Eb,Eb,Eb-G-Bb,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica menor,C,1 b3 4 5 b7,C Eb F G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,C,Cm7,C-Eb-G-Bb,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Pentatonica menor,C,1 b3 4 5 b7,C Eb F G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,cuatriada,Eb,Eb6,Eb-G-Bb-C,Escala pentatonica: no genera una armonizacion diatonica completa de 7 grados.
Blues menor,C,1 b3 4 b5 5 b7,C Eb F Gb G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,C,Cm,C-Eb-G,"Escala hexatonica de blues: estos son acordes basicos contenidos, no una armonizacion funcional completa."
Blues menor,C,1 b3 4 b5 5 b7,C Eb F Gb G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,C,Cdim,C-Eb-Gb,"Escala hexatonica de blues: estos son acordes basicos contenidos, no una armonizacion funcional completa."
Blues menor,C,1 b3 4 b5 5 b7,C Eb F Gb G Bb,Triadas y cuatriadas basicas contenidas en las notas de la escala,triada,Eb,Eb,Eb-G-Bb,"Escala hexatonica de blues: estos son acordes basicos contenidos, no una armonizacion funcional completa."
